entry,mid,instspeed,exit,length
65.69122507609845,70.09032961803145,12.14755146273479,75.0180677042499,117.23
81.51678530330848,86.20142935466541,12.276187240793112,91.4763504816239,117.23
113.00017174868353,118.12642737706227,10.635189772265269,123.90181793558789,117.23
114.8227001233754,120.01076729811876,11.823693676090427,125.82308338046259,117.23
118.89334394781726,124.05899830363175,10.389041593478535,129.81951142739808,117.23
126.48144345409811,131.56867109893145,11.697459719810482,137.20458663286226,117.23
128.43768195922277,133.37375405556278,11.654062056184483,139.1207736140271,117.23
156.3817547207305,161.0137023356139,12.475931725565765,166.20632172613227,117.23
160.5664731712001,165.1690427424114,12.0209949438979,170.38666538430655,117.23
162.43569767591993,167.0321826697401,11.423495709683753,172.16303069434753,117.23
199.16891532296765,203.15011204074204,13.71350071853106,207.72329517401246,117.23
202.50534093975656,207.02779073105887,12.541315986760038,212.01568896702884,117.23
206.74550545040103,211.18201639979523,11.969594355923256,216.29231786743142,117.23
216.36629330658474,222.24121742621884,9.812244955905152,228.84259922258138,117.23
218.39636830205203,224.21058631481847,9.818842449973573,230.89429577809108,117.23
220.7405600907752,226.248796333222,10.126810988167861,232.86344828371256,117.23
243.76158003487632,247.6325097355149,14.505198072184205,252.04445788056032,117.23
248.09936278767978,252.5175214425731,12.917089350635466,257.5288862596473,117.23
265.12892591656475,269.48269228988346,12.842245485478411,274.45112135902184,117.23
266.88588060824014,271.2464771087184,13.48748322267621,276.2163379027859,117.23
289.85702266061594,294.1112872299131,12.487501758101615,299.0531772440649,117.23
291.9312285771871,296.2273634433282,13.382687796488664,301.12466948489026,117.23
298.03967450921346,303.2243843944531,10.939637046303119,308.9773734145188,117.23
300.0238419886788,305.1684200229588,11.663514609887786,310.8669782052118,117.23
340.1076695444012,344.4725909811772,13.213044867006504,349.4182407545712,117.23
342.507154451113,347.1084420602636,12.250122024000348,352.31266138711044,117.23
347.41662295132875,352.0583848892679,11.183206931895342,357.48200265182436,117.23
349.44229291817277,354.25142094453474,12.013928000631198,359.734057276391,117.23
369.56699397181404,373.25636351150627,14.804396808087608,377.4521527839533,117.23
390.99700975334713,396.0910049970851,10.31456333095796,401.8806514049813,117.23
408.1556731886307,412.5567265211756,11.762946515332064,417.8869364259736,117.23
409.8952604013312,414.341674621802,11.8416554377769,419.72334035759275,117.23
422.3477897944272,427.5371939444682,11.523365465852846,433.419072392753,117.23
435.47249953125385,440.32775513240705,11.755342744400012,445.81791811694853,117.23
437.32084379278086,442.20635999398127,11.480567053666055,447.6853273769821,117.23
451.7407471382471,457.2278414945983,10.492812311614529,463.63824791139467,117.23
453.61302868619555,459.20780557063546,9.813071160346315,465.6434848317466,117.23
471.58285857504455,476.44149031838026,11.540908885282757,482.0327768741988,117.23
476.8362104903395,481.3841615601871,11.530278848047239,486.5986080613795,117.23
487.22314424796537,492.45800196450887,10.589637509436482,498.72532114791454,117.23
495.2660196272576,500.09181444507163,11.040350644841741,505.57486000783547,117.23
500.56952093324855,504.24724282413916,13.472580377974323,509.1596410869251,117.23
515.2104472697417,519.5444665363309,12.647253597212003,524.3716438701996,117.23
519.3722641653103,524.262462780111,11.769395586717224,529.6987989625742,117.23
521.2405537862513,526.0799540727724,11.689079068067525,531.5453980211269,117.23
535.369930300397,539.3502253998623,14.513831173123057,543.9175304753122,117.23
560.5055676158598,565.130088749242,12.006365303722477,570.3346556704078,117.23
566.6614414531448,571.2874435924247,12.365663098016189,576.5772257923032,117.23
568.463047094959,573.0201706744857,12.147174482337297,578.3963023309609,117.23
577.7242639890442,582.5319656855044,10.914291042333835,588.0924948030734,117.23
579.6397187562675,584.3771705775087,10.859399681024495,589.9114653439792,117.23
582.1505374936861,586.4694171667563,13.06764248929776,591.7552470474195,117.23
597.0303236124769,601.1174665600038,12.848410308366857,605.8748730438275,117.23
599.0812895146743,603.3737475237585,13.355442221430218,608.22259043879,117.23
628.3264737186558,632.2815707132721,14.127262603081876,636.6793697071727,117.23
633.7505324376921,638.1554458020292,12.565084750937563,643.1717918639014,117.23
653.7151857650209,658.5242762207056,11.46162005247047,663.8938364345696,117.23
674.6492657224278,679.4303291677537,13.756379041464964,684.0212321069972,117.23
676.9283616780788,681.2121941400966,13.641897678348016,685.8630873671332,117.23
690.1687657022135,695.4950844906763,10.723339324818374,701.4690673905938,117.23
704.7370238741053,709.4879002100745,11.805539290948794,714.8000790784372,117.23
706.5444393687417,711.2864212951471,12.891917967426467,716.6533917720335,117.23
709.4777791730811,714.345986240203,11.466445634285186,719.936119680322,117.23
716.6240035221543,721.2102697361208,12.3502668705945,726.5367905783527,117.23
739.8065471176943,744.0888684806473,12.532144010606242,749.0774532747108,117.23
746.1794657918383,751.2401192948711,10.836218500572304,756.9744494963763,117.23
748.0195600050405,753.0625229839615,10.630852839601934,758.7979198645545,117.23
795.5676120085205,800.509030114347,10.446124057066863,806.1330545562871,117.23
797.4230646331217,802.3945430756693,11.850322448792877,808.0451213329129,117.23
799.679061228518,804.3331621650033,11.017767886940582,809.9685647203709,117.23
826.878229063522,831.5162941832092,12.692629006694936,836.9457935591598,117.23
859.4810173456287,864.114759958986,9.830810384738587,869.9948159046223,117.23
867.2449957219882,872.0076648779986,12.264932342883576,877.3058793709703,117.23
882.3994738580166,887.5452229058142,11.76061795753579,893.0397192681886,117.23
967.390124983702,972.0562043205167,13.318352909143979,976.8644890477292,117.23
994.1655713651206,998.5206171787963,13.572309166023464,1003.2950055844105,117.23
1019.5879145963257,1024.3016838736967,11.7955115693195,1029.6551953966152,117.23
