entry,mid,instspeed,exit,length,inst_speed
128.0,129.44667125874628,14.683962661688307,130.37996418116737,21.05,
209.0,210.52372859375788,13.900816646122857,211.5724574413906,21.05,
212.0,213.44990092542295,11.26570883703266,214.67149851700717,21.05,
223.25273218097868,224.00817091962426,11.814543606500509,225.18641504132643,21.05,
294.0,295.4642484284218,12.677231895781697,296.5437289569629,21.05,
300.48812835437724,301.2791082710714,8.550085847578849,302.7060584053977,21.05,
313.5141560436694,315.2698081886019,6.904174929608514,316.99002683538885,21.05,
383.7665874762786,384.5644375060485,11.565581973234712,385.6423670632687,21.05,
396.89019832371366,397.59623193714447,12.514417357382017,398.6740630872851,21.05,
409.8192862056466,410.4686493534193,13.902953579667091,411.48441277840277,21.05,
471.6507224331515,472.5292991919801,10.788219982903176,473.6703625715061,21.05,
496.6363788641999,497.37642024962435,12.402550171093104,498.5635104040658,21.05,
534.0,535.4278643723546,12.427262987147882,536.5014981818645,21.05,
564.5388747767238,566.1575839509444,7.338059227652354,567.8296574636391,21.05,
636.0,637.5021379874871,11.522250768120914,638.6169975215496,21.05,
691.0,692.5135373195999,10.678965844136982,693.8261035268772,21.05,
815.0,816.4142257747392,11.472033163808527,817.6541542856895,21.05,
856.0,857.5902195838751,13.391558967166375,858.6673078052123,21.05,
924.5227963905788,925.2072838966094,13.633731149274075,926.2366441853352,21.05,
935.0507078873,936.1961338077543,9.86474098597766,937.4872122398529,21.05,
948.5462974130972,949.3569810351663,10.884280115444627,950.585644147841,21.05,
952.7426389112843,953.4352782203562,13.036791019457045,954.5076881046979,21.05,
1009.8021581340677,1010.4717476439939,13.342822753045679,1011.5306123261561,21.05,
1017.5948751663448,1018.2302689725956,14.935818412200927,1019.1637766354668,21.05,
1031.5816092103848,1032.3507016693427,11.395373725129483,1033.5282025945219,21.05,
1034.0,1036.0085356832806,9.094112186459173,1037.4604270392203,21.05,
1043.4545082548132,1044.1810286736015,12.413176445421948,1045.3147568717661,21.05,
1078.1755212028588,1079.0641959268055,9.965018041635258,1080.4548600867724,21.05,
1089.548681821504,1090.236789727622,12.558958747698783,1091.321079083547,21.05,
1094.0,1095.5987913567376,12.468758494909522,1096.6797087090092,21.05,
1109.4048401252703,1110.0579075912601,14.587599170672398,1111.0100030158274,21.05,
1114.743962413332,1115.4046635498644,13.418652612534933,1116.4637102001432,21.05,
