interval,instspeed,avgspeed
0.0,12.43451846225366,11.941799503744686
1.0,11.771310427611521,11.42610165185021
2.0,12.282795494413772,11.762320754341399
3.0,12.250156447525256,11.650719098520558
4.0,12.11807138212139,11.51944049100753
5.0,11.833223049885174,10.2649021312322
6.0,11.608325607735434,10.383342176076278
7.0,11.583778075505126,10.210413339471064
7.0,11.982315239821993,11.34417549438162
8.0,12.187475669007334,11.128664783768183
8.0,11.661187752879048,10.437406437837339
9.0,11.545126515060366,9.781523885886427
10.0,11.942126594493546,10.826548957980439
11.0,11.923912657380555,10.809752909659855
12.0,11.77244436766569,10.926460625295835
13.0,12.329716899874638,9.758694901079902
14.0,10.759477718068204,8.17201479908301
15.0,11.536111197078204,10.18445524295077
16.0,12.018667864191988,10.71832423235355
17.0,10.765514313063422,8.366100373243189
18.0,11.275483050170795,9.992059616115384
19.0,11.045196533190142,7.914061328575895
20.0,10.898226350639957,8.27610630725402
21.0,8.980863250311142,7.720917502754391
22.0,9.093362095379765,5.834685864940995
23.0,9.635903906676864,7.127321344828256
24.0,11.7949019294916,9.52833942234556
25.0,10.738256467786913,10.642583640404355
26.0,12.75507010597171,10.806666057484712
27.0,13.613066742476391,13.555193830393012
28.0,11.971813082907124,11.664046282851114
29.0,13.89,13.89
30.0,13.361011101238109,12.989778689398923
31.0,7.953434547566535,7.844021345152297
