interval,instspeed,avgspeed
0.0,13.89,13.89
1.0,12.96152081961922,12.371900990465766
2.0,13.421608997578863,12.99641508851301
3.0,11.091198079186093,10.015672068242829
4.0,11.614361501239703,10.959573856852904
5.0,12.10515316200398,11.257298912555113
6.0,11.218455471336299,10.519976450146487
7.0,12.074475718940343,11.419444216387465
8.0,11.228123656911924,10.486695206765601
9.0,12.431712273783651,12.143110449910512
10.0,11.423482042873797,10.816028336511176
11.0,12.712126123513453,11.713580278593467
12.0,12.643298080699912,12.074195833158667
13.0,12.062898198749952,11.130368209179307
14.0,11.91461425678821,10.632958985036797
15.0,12.016975906020157,11.157233196292912
16.0,11.458957857901595,10.942002864522497
17.0,12.574423526049756,11.934685173453387
18.0,12.446024743754649,11.621282385610485
19.0,12.137764191374938,11.535969120793812
20.0,12.214374826100748,11.479096479126985
21.0,12.384278973480871,10.903760810211045
22.0,12.075839224063037,11.418667295841228
23.0,12.832112890938802,12.050386694802944
24.0,11.542410622622636,10.656839093587754
25.0,13.029661521996378,12.352800696266096
26.0,12.842987706881758,12.039179853401333
27.0,13.149264592061673,12.876347084032414
28.0,13.480735084904541,13.086985022681478
29.0,8.063897201417705,7.923101966719858
30.0,8.334,8.334
31.0,8.041638876214318,7.820142095698964
