interval,instspeed,avgspeed
0.0,12.371748717522658,10.415495594445773
1.0,11.664948153859248,10.199542419183915
2.0,12.143627594901707,7.6673570285982295
3.0,12.6778873004757,9.449494325811825
4.0,12.351920292466941,10.21560804867684
5.0,12.901106378406478,7.614737598091686
6.0,11.68159124578537,7.494989200747559
7.0,12.69393446687248,9.518476813771398
8.0,10.694787520025441,8.31433692837548
9.0,12.795771368330884,5.980677835291956
10.0,12.829169240241871,10.81023950895424
11.0,12.611561362878208,6.0865891764005795
12.0,11.10101710174287,8.39348000654161
13.0,12.2978730251492,7.101663613894278
14.0,13.511399886091148,13.89
15.0,11.95516652675765,3.5780588647341234
16.0,10.461044395752632,1.9971557508238398
17.0,0.0,3.078701201852041
18.0,12.140057839791794,8.027185640237498
19.0,12.992384106344131,1.5281463647575115
20.0,11.684331441709249,5.535801604850221
21.0,9.32110394198671,0.667238012994702
22.0,10.656292873651896,0.0
23.0,0.0,0.5660324110406026
24.0,9.823218230764938,6.101976584405572
