interval,instspeed,avgspeed
0.0,10.68215128104081,10.793535112446252
1.0,12.214203424356862,12.603256639674964
2.0,12.192249025543607,12.07930465783799
3.0,12.649262698561813,12.719097498449635
4.0,13.050880324653109,13.236852302685719
5.0,13.376562612897303,13.886474806957631
6.0,12.744859061839742,12.932403888027723
7.0,11.72997885224181,12.214859978409113
8.0,12.57938293202936,12.476202294937654
9.0,12.013661167091461,11.350704967236346
10.0,11.37150898889356,6.351209031240943
11.0,12.688476956367225,12.873437516727272
12.0,13.086279816210254,13.42208292872408
13.0,13.071809531440362,13.257494656529065
14.0,12.422249684393972,12.333628823562547
15.0,12.573040072110922,12.583069062531058
16.0,10.38562065376868,11.02914699173905
17.0,12.726876000729876,13.105692483502736
18.0,12.405380961257524,12.662554323089228
19.0,12.220717006394967,12.279766735131236
20.0,12.74254790327357,12.539232457718816
21.0,13.790253386701618,14.018297195778084
22.0,13.068987948989781,13.281654916823706
23.0,13.105439443283773,13.089035945105397
24.0,13.159848233211061,13.294320483327258
25.0,12.893657104227616,13.235349295335068
26.0,11.665189128302682,11.8413155148864
27.0,13.410868850639126,13.40317409239299
