interval,instspeed,avgspeed
0.0,13.35046110603414,4.8498920151588605
1.0,12.9648627754346,6.795182615329094
2.0,12.774662498347539,10.498050764712644
3.0,11.74105835222207,3.844590783082623
4.0,12.565772436779847,4.680174092318532
5.0,11.959796570253289,3.0964048926672363
6.0,11.00879171344418,6.386357999043818
7.0,10.40322894280654,5.857397888540445
8.0,13.584454822987519,4.0270718672569465
9.0,11.41882299035597,8.961003749001046
10.0,11.499063569283162,3.1917732708286235
11.0,10.475306172274186,4.6242892919507
12.0,12.391769581720393,1.1599488394356257
13.0,13.323066580516944,7.966480088945536
14.0,13.184623453620077,8.650174808832482
15.0,11.711648733423626,6.474300395072318
16.0,12.229176507840858,8.930397472562339
17.0,13.89,13.89
18.0,10.438556372140276,13.89
19.0,12.136543034521358,7.5522408156154315
20.0,10.779047821728494,4.226071533597147
21.0,10.085714665607062,0.684298293920528
22.0,0.0,0.26462786669825694
23.0,0.0,0.0
24.0,12.81413300033434,11.30517486166112
25.0,11.970268513127412,0.6951384758734267
26.0,11.119798731056864,1.7256909089469132
27.0,14.586234512639383,9.141541996333052
28.0,8.631972728427508,1.848400305438204
