interval,instspeed,avgspeed
0.0,11.304483446305163,4.909192923289616
1.0,8.76610327921363,3.5422328286814007
2.0,11.362412149591158,7.1925128903322415
3.0,12.18173726044464,8.054439869515383
4.0,11.671127153526289,8.330433298329442
5.0,11.719000228052366,5.267055423183788
6.0,10.994136457198035,5.643008747602331
7.0,11.748966734788283,5.3715784870519245
8.0,12.31263672403227,8.438634131979352
9.0,10.357531556457676,5.2898914880349865
10.0,12.318007664362582,9.269101919856212
11.0,10.129930164042735,4.201838301925502
12.0,13.27890949014499,7.700028504962574
13.0,10.341468421072056,4.529778736162719
14.0,11.06096291501551,6.600886064812383
15.0,11.21030720573865,5.106755306497956
16.0,11.510552563497424,7.427917915214671
17.0,11.76917869256379,5.709430119591424
18.0,11.829821464653648,6.563349063900113
19.0,12.142266533965206,4.6281168631804075
20.0,11.049503011073647,5.980436522743286
21.0,12.083519709777011,6.451599890897446
22.0,12.63435247174312,9.540655566158113
23.0,10.633294282905887,4.870699447762636
24.0,12.151730743792388,7.753106734525272
25.0,13.89,13.89
26.0,12.907857650250222,9.50513504513528
