interval,instspeed,avgspeed
0.0,12.491058370976933,8.296968827992654
1.0,12.555515608773828,6.815377232706024
2.0,12.283280721529911,6.4965420231903135
3.0,11.756093460387822,5.232322437888245
4.0,11.30781448926109,5.603047637517424
5.0,11.843680503843096,5.805546303851369
6.0,10.348873150945845,3.6417201187156087
7.0,11.284288004085017,6.144064211832979
8.0,11.53139381324306,5.5769869115499455
9.0,11.36431878456624,4.246093901705348
10.0,11.347303377452764,4.726419141413814
11.0,10.781453269049718,4.08210311027735
12.0,11.31710009820562,4.6115046679492115
13.0,10.580899973865074,4.908621097125738
14.0,10.075442452754023,3.2126317193283263
15.0,9.085424911918471,2.860435073600398
16.0,10.220024007508718,3.2751333696957516
17.0,10.060212803812133,3.2066620492821847
18.0,10.043295123382743,3.5557685243815103
19.0,9.806611471718394,2.718035336008667
20.0,8.99293585414932,2.1552709462329966
21.0,9.5997425169226,3.3892428516944855
22.0,10.215165326898774,3.171933217605608
23.0,10.341212656097616,3.9904661242694344
24.0,10.348353730477807,3.4489976080328306
25.0,10.736268814447323,6.000903050620695
26.0,12.620326621093763,6.912433187172508
27.0,11.874454665996517,9.587248866488512
28.0,12.537349524034028,8.81141451712067
29.0,12.797126576028505,8.997050788142818
30.0,13.088619094459892,9.734145378977994
31.0,13.306544988935093,10.674394570018297
