interval,instspeed,avgspeed
0.0,13.427121688739344,12.536882573183592
1.0,12.020412895179895,11.58190759826112
2.0,12.178944774223407,11.816891787833185
3.0,12.675119584835025,12.362039195807975
4.0,12.094962389464136,11.861302525130029
5.0,11.506537033322477,10.083585015527131
6.0,9.512746208498548,6.369446339617944
7.0,11.603154776819817,9.902581259478932
8.0,11.926630495935536,9.548044434663272
9.0,11.708293500529143,10.38165901347963
10.0,12.6421697638756,9.747724534289485
11.0,10.828573969271904,9.920928498901649
12.0,11.783134447603194,9.549083467905847
13.0,12.106395746310774,9.128242201668868
14.0,11.66616967415651,9.147477678294006
14.0,8.48754218743844,7.661798661637455
15.0,9.906015410238677,6.260153068149135
15.0,7.487300258024696,6.797821291229201
16.0,10.240789798523716,8.444971224857783
16.0,8.99935404661413,6.913713571115221
17.0,12.385987905018052,11.143228425087079
17.0,13.0291175271204,11.996414868644
18.0,11.671702013374166,9.448876206155148
18.0,7.176733415646455,8.841668637967928
19.0,9.94903259441978,8.351800534029376
20.0,6.865520555564577,2.115270291791494
21.0,12.416827766794572,11.52581257725566
22.0,8.59885512171971,7.732565730420845
23.0,10.347843197711423,8.071001704192136
24.0,8.657789996481494,7.240314344884086
25.0,9.107687919215104,7.168643545632989
26.0,9.801458242168149,8.051301157389045
27.0,9.40797526132193,8.169001955209
28.0,9.636796864085584,8.563872582864876
29.0,10.384678707708868,10.395522480938913
30.0,12.704514146317555,13.393874514949761
