interval,instspeed,avgspeed
0.0,11.924996302012932,6.2486397997166145
1.0,10.985928270479665,5.083988156510204
2.0,11.473043664334694,5.496646736447767
3.0,11.432938799720825,7.330382329847692
4.0,11.029105754169091,5.327188207717701
5.0,11.686464559262102,6.218249245871522
6.0,11.021495940265865,5.51280890885883
7.0,10.920161167492948,3.8098631296013274
8.0,11.326197851808583,6.947582441152951
9.0,12.254918983019179,4.658340040353738
10.0,10.935035384651929,5.8246774608406415
11.0,11.422107783106272,5.378235557084874
12.0,11.060098335860193,4.411570152685113
13.0,10.448526612300952,5.094206834260006
14.0,10.399029560529808,3.067933032586121
15.0,9.350633526340754,4.273200127152985
16.0,10.23725557329932,4.15459586989609
17.0,10.458359145033725,6.877041397024075
18.0,8.778159110308202,3.415703433101161
19.0,11.131363778370325,3.5011784140534656
20.0,10.689096338512845,3.8709838124621
21.0,10.322137271585934,4.165408666438782
22.0,6.310337153696759,2.8107461509437432
23.0,9.411116443667273,1.9370361114660386
24.0,9.945689249763666,1.4347431592649786
25.0,8.535641618060813,4.6421135214766265
26.0,6.469647405132219,2.9760626806828063
27.0,8.459200370687201,4.173973145416758
28.0,10.680852018503604,3.6644464031984016
29.0,11.52729795194708,6.805571333752671
30.0,11.293419235902416,2.8498594346714072
31.0,11.686117733390647,7.709132272402831
32.0,12.74154094346675,8.48916982099154
