interval,instspeed,avgspeed
0.0,12.133724239687158,10.17176013168412
1.0,12.052666862666467,10.648233592334977
2.0,12.054062908949774,8.012609355978695
3.0,12.074116850721598,8.568064424912569
4.0,11.527788207890469,7.227011215908496
5.0,9.60039678129928,3.917727108438922
6.0,11.091248562053925,6.14640936014706
7.0,11.014436911069597,4.628377548474765
8.0,10.977732753016527,3.807891871041014
8.0,11.08565517732853,5.796456081534383
8.0,11.525002838845312,4.390518185312333
8.0,10.831856238681112,3.623924080232885
8.0,8.001123878557951,4.682298179334569
9.0,10.541157931023552,3.2302841620936853
9.0,9.15283486458585,2.802193091752758
9.0,7.183407000846387,3.1815323868097436
9.0,7.149032689358767,3.73495470510641
9.0,9.15600976407126,1.2463679943522963
10.0,7.996558810416656,2.9948436891778285
10.0,11.89098229471309,4.750035429327312
10.0,6.765441752465449,2.4536451091743396
10.0,4.569283872637062,4.040821237570609
10.0,4.255130125127259,2.9918878795621344
11.0,7.396491703408779,4.940346178557185
11.0,6.281646385203468,2.9086842587804718
11.0,4.976105854038073,1.950146751647972
12.0,8.694453070460952,5.564511840603929
12.0,11.958057625588106,5.085716792376866
12.0,12.665248428524496,9.428452451152285
13.0,12.20704032410078,9.985292180281117
14.0,6.702948113973146,5.691679232106711
15.0,7.650481943360154,5.682847585956978
16.0,7.776683217775431,5.848197439322666
17.0,7.514211168582034,5.850567717682117
18.0,7.901796849745099,6.623811433994362
19.0,7.396821334969059,5.667083016819164
20.0,5.556,5.703693453175662
21.0,8.01109045123324,6.6175258407472075
22.0,7.465885241055635,5.667644089919726
23.0,8.028940260560166,5.9554736842030485
24.0,8.027094863861164,6.125244314278158
24.0,7.974006060719302,6.125244314278158
25.0,5.556,5.743592216715738
25.0,5.556,5.743592216715738
26.0,7.8116645849754764,6.210520636183106
26.0,5.556,6.210520636183106
27.0,7.8125328267284,6.828079773176138
28.0,5.556,5.556
29.0,5.556,5.556
30.0,8.078014097288033,6.634679178206435
31.0,5.556,5.556
32.0,8.246368861562974,8.188673618108439
