interval,instspeed,avgspeed
0.0,12.46784992464967,12.27662382498506
1.0,12.561443874882224,12.473239328651532
2.0,12.425221557780892,12.264620158655209
3.0,12.62723674278745,12.137745573207853
4.0,11.68326037210641,11.155896282738352
5.0,12.501515756781405,11.052355293875108
6.0,12.416618070657986,10.708340788413263
7.0,12.014589432909675,10.655836183353486
8.0,13.342091339671148,10.335861864879101
9.0,9.931346816308045,9.970418237270453
10.0,12.27228473609726,10.525729643931744
11.0,9.516906077490695,9.305658637076212
12.0,12.921639511963548,11.604251301085329
13.0,12.285560121582401,11.346416619370201
14.0,11.531926687974165,8.058232282768577
15.0,7.4772949456559585,7.613506964287874
16.0,11.931717156616095,11.7304116925829
17.0,10.71117698915335,10.768195942780409
18.0,7.508568224934064,5.180263536752106
19.0,7.39198893949156,7.359266447630989
20.0,11.711847757599623,10.478487658909515
21.0,11.458216199808062,6.485408769155653
22.0,10.006528971810344,9.925779842808067
23.0,10.0422332428696,9.697427843078534
24.0,11.906718075019475,11.157572207958344
25.0,10.286542620292362,10.15060488098868
26.0,9.779343572408024,9.819359271980378
27.0,11.39105685006139,11.199407853094687
28.0,10.337079909918604,12.493176483616958
29.0,13.524684342122256,13.283296085390958
30.0,8.334,7.929009756844545
31.0,7.746983746493821,7.744812255869709
32.0,8.331050921741141,8.350888278837903
33.0,7.669951550804818,7.63669658671011
