interval,instspeed,avgspeed
0.0,12.45917056382282,7.084838778969582
1.0,11.998123360646682,6.245325649710557
2.0,11.7647396859303,5.450711528405679
2.0,12.457157279718256,4.953586624574067
3.0,12.54476999941784,5.345654842756942
3.0,11.663333349904136,5.409589017950344
4.0,11.632232649816194,4.440963212805529
5.0,11.984206934051935,5.1589153955664475
6.0,11.901468116715076,5.195606844297428
7.0,11.707665168210513,4.8638865144407175
8.0,12.124839380568627,4.765002029880797
9.0,11.835666599448682,4.544260755999472
10.0,12.286405863875432,4.753716984244871
11.0,11.795604203535976,5.906549388784227
11.0,12.020964621664831,5.179843270243241
12.0,11.562782809391203,4.56850277090252
12.0,9.399614611675668,3.863207062146458
13.0,11.535253137448427,3.9529939265974314
14.0,11.155990271693994,2.990574477749635
15.0,10.553646426118116,3.2558375673528275
16.0,10.821901350790343,4.640297331737767
17.0,8.98746920251945,3.7563404558087115
18.0,8.774015917305338,2.4543586218032356
19.0,7.474215908573276,1.8446495157576277
20.0,6.140440174020412,1.67325650301004
21.0,7.71524065434448,0.8720773472194168
22.0,8.89395557803113,4.953601544807162
23.0,9.038921957214546,4.300068305612871
24.0,12.564409746500013,7.448759681679141
25.0,12.18957360190669,8.913332053805142
26.0,10.579594354468341,9.222685104078462
27.0,12.978851617600691,9.14955716172347
28.0,13.316364314890297,9.561827803744674
29.0,13.050692991109079,11.67995392425764
30.0,13.739899447960397,13.098875861548041
