interval,instspeed,avgspeed
0.0,12.693497545519268,12.37582883667268
1.0,12.099764713101058,11.780390782896642
2.0,12.198549250641937,11.703945286533607
3.0,12.378130621452524,12.094072552976971
4.0,12.296136363801201,11.95925000034321
5.0,12.47487660263597,12.07706450811888
6.0,12.850549394272075,12.41551792883094
7.0,12.257106002218912,11.934025268451496
8.0,12.596625672185722,12.24174531494479
9.0,12.589838255969465,12.167441443439447
10.0,12.774140816673237,12.215524009968128
11.0,12.30374139997537,11.92790876212015
12.0,12.418869704834432,11.955519842799294
13.0,12.424876446133968,11.98306891861653
14.0,12.3170148952392,11.562216609829349
15.0,12.046337125286197,11.690829738740623
16.0,12.164644422942862,11.744386963565756
17.0,11.910152313942138,11.636820511633857
18.0,9.67194274211415,9.640283697445664
19.0,10.140166097756536,9.56251450570009
20.0,12.747020465345264,12.2696336215029
21.0,12.9441333889611,12.152372996275668
22.0,12.557355102067831,12.075569860459513
23.0,13.145685392756283,12.583419040401388
24.0,11.65890929880275,10.438804955015284
25.0,12.855196754374578,12.545273581991884
26.0,12.259069419819909,12.088501821067103
27.0,12.841727333362176,12.380390113544525
28.0,13.441168826535598,13.290804520923732
29.0,8.334,8.334
30.0,8.011498797769336,7.911086573594481
31.0,7.9829863193607675,7.827089925612832
