-111343195#2_0,11629.86,89493.37,11663.494999999999,89580.965,11684.88,89637.0
-111343195#5_0,11579.69,89329.81,11602.695,89407.4075,11625.07,89479.69
-152086640#0_0,12386.05,89431.69,12414.866666666667,89432.08666666667,12465.04,89432.91
-152086640#4_0,12254.95,89429.97,12299.217999999999,89430.594,12371.56,89431.61
-152086640#6_0,12149.17,89460.65,12182.883333333333,89450.04,12239.28,89432.23
-158782352#5_0,10878.6,89473.52,10856.826666666666,89479.19666666666,10815.52,89489.97
-158783758#6_0,11795.76,89730.71,11805.438571428573,89795.91,11814.89,89860.0
-158783758#8_0,11778.93,89616.88,11787.5,89674.63333333335,11793.44,89714.91
-158783760#0_0,11048.37,89599.77,11060.35,89594.99,11072.33,89590.21
-158783760#2_0,10963.44,89634.27,10990.43,89623.29250000001,11034.88,89605.21
-158854903#1_0,10927.88,88987.29,10972.514000000001,88982.75,11007.66,88981.81
-158995079#1_0,11595.33,89686.96,11636.025,89796.6,11676.72,89906.24
-159216680#2_0,11853.94,89706.67,11872.162,89756.524,11902.96,89840.69
-159216680#4_0,11815.45,89601.45,11834.49,89653.5,11848.93,89692.97
-159244459#1_0,11046.3,89610.19,11060.803333333335,89648.18000000001,11073.04,89679.84
-159244459#2_0,11014.43,89526.43,11027.785,89561.515,11041.14,89596.6
-159279412_0,11757.72,89037.63,11815.6175,89048.12,11877.26,89059.78
-159315422#0_0,12289.86,88911.44,12262.554,88863.474,12245.17,88832.35
-159315422#10_0,12376.63,89425.89,12366.535999999998,89350.20999999999,12354.74,89261.73
-159315422#4_0,12333.73,89120.39,12315.439999999999,89028.45,12295.27,88926.91
-159315422#5_0,12337.93,89152.01,12336.95,89143.375,12335.97,89134.74
-159315422#7_0,12352.74,89247.43,12347.746666666666,89215.56333333334,12341.03,89174.14
-159315426#4_0,11947.08,88969.6,12020.9175,89018.8475,12101.86,89072.84
-159315446#0_0,12330.79,89157.89,12318.465,89149.53,12306.14,89141.17
-159315446#2_0,12446.47,89235.16,12400.386666666667,89204.17666666668,12349.33,89170.27
-160253722#0_0,12370.3,88812.13,12375.0,88811.975,12379.7,88811.82
-160253722#0_1,12370.41,88815.33,12375.11,88815.175,12379.81,88815.02
-160253722#3_0,12252.58,88816.05,12313.5575,88814.02,12370.0,88812.14
-160253722#3_1,12252.68,88819.25,12313.665,88817.22,12370.11,88815.34
-160253722#7_0,12050.19,88822.8,12145.171999999999,88819.70800000001,12238.06,88816.53
-160253722#7_1,12050.29,88826.0,12145.28,88822.90799999998,12238.17,88819.73
-160253727_0,12430.34,88860.56,12430.73,88862.88,12431.12,88865.2
-160321090_0,12260.95,89259.2,12249.740000000002,89205.095,12238.53,89150.99
-160913587_0,12393.66,88539.2,12314.386666666667,88525.77666666667,12269.79,88518.44
-161010065#9_0,11007.95,88789.63,11122.019166666667,88780.36,11268.14,88767.1
-161010072#2_0,10884.85,88801.13,10932.659999999998,88796.63333333335,10987.25,88791.49
-161010072#5_0,10729.03,88816.07,10790.1175,88810.17,10870.27,88802.5
-161036801#9_0,11178.64,89826.39,11203.026,89886.734,11222.92,89935.95
-161036803#0_0,11030.9,89441.49,11037.529999999999,89468.715,11044.16,89495.94
-161036803#3_0,10997.82,89305.73,11015.84,89379.63249999999,11027.48,89427.48
-203481580#0_0,10986.1,88420.0,10933.61,88421.44,10881.12,88422.88
-203481580#3_0,11248.25,88412.85,11098.58,88416.9375,11004.46,88419.51
-203481580#7_0,11420.04,88408.15,11354.079999999998,88409.954,11262.66,88412.45
-227913938#10_0,12387.27,88349.63,12387.0075,88229.80625,12400.93,88112.31
-227913938#6_0,12406.12,88098.49,12446.70625,88011.78,12476.75,87947.81
-228022792#1_0,12544.07,89869.61,12536.003333333332,89830.92666666668,12524.7,89777.44
-228022792#1_1,12547.21,89868.97,12539.136666666667,89830.27333333333,12527.83,89776.77
-24430153#1_0,11751.8,89045.8,11762.3775,89129.9675,11768.51,89176.59
-24452779#1_0,12243.5,88108.4,12306.9,88106.31,12396.54,88103.35
-24452782#3_0,11434.68,88550.42,11445.914999999999,88699.14625,11477.34,88892.23
-24452782#5_0,11429.13,88413.51,11431.21,88464.92333333334,11434.07,88535.53
-24452782#6_0,11418.11,88141.29,11423.33,88270.17,11428.55,88399.05
